 Antal dgr;Tabellnr;Inkomst fr.o.m.;Inkomst t.o.m.;Kolumn 1;Kolumn 2;Kolumn 3;Kolumn 4;Kolumn 5;Kolumn 6
30B;29;36401;36600;8389;9603;7103;7103;10299;10299
30B;29;36601;36800;8447;9666;7166;7166;10357;10357
30B;29;36801;37000;8518;9731;7231;7231;10429;10429
30B;29;37001;37200;8616;9794;7294;7294;10527;10527
30B;29;37201;37400;8714;9857;7357;7357;10625;10625
30B;29;37401;37600;8812;9920;7420;7420;10723;10723
30B;29;37601;37800;8910;9983;7483;7483;10821;10821
30B;29;37801;38000;9008;10046;7546;7546;10919;10919
30B;29;38001;38200;9106;10111;7611;7611;11017;11017
30B;29;38201;38400;9204;10174;7674;7674;11115;11115
30B;29;38401;38600;9302;10237;7737;7737;11213;11213
30B;29;38601;38800;9400;10299;7799;7799;11311;11311
30B;29;38801;39000;9498;10362;7862;7862;11409;11409
30B;29;39001;39200;9596;10445;7945;7945;11507;11507
30B;29;39201;39400;9694;10555;8055;8055;11605;11605
30B;29;39401;39600;9792;10661;8161;8161;11703;11703
30B;29;39601;39800;9890;10768;8268;8268;11801;11801
30B;29;39801;40000;9988;10874;8374;8374;11899;11899
30B;29;40001;40200;10086;10980;8480;8480;11997;11997
30B;29;40201;40400;10184;11086;8586;8586;12095;12095
30B;29;40401;40600;10282;11196;8696;8696;12193;12193
30B;29;40601;40800;10380;11303;8803;8803;12291;12291
30B;29;40801;41000;10478;11409;8909;8909;12389;12389
30B;29;41001;41200;10576;11515;9015;9015;12487;12487
30B;29;41201;41400;10674;11621;9121;9121;12585;12585
30B;29;41401;41600;10772;11727;9227;9227;12683;12683
30B;29;41601;41800;10870;11833;9333;9333;12781;12781
30B;29;41801;42000;10968;11944;9444;9444;12879;12879
30B;29;42001;42200;11066;12050;9550;9550;12977;12977
30B;29;42201;42400;11164;12156;9656;9656;13075;13075
30B;29;42401;42600;11262;12262;9762;9762;13173;13173
30B;29;42601;42800;11360;12368;9868;9868;13271;13271
30B;29;42801;43000;11458;12474;9974;9974;13369;13369
30B;29;43001;43200;11556;12585;10085;10085;13467;13467
30B;29;43201;43400;11654;12691;10191;10191;13565;13565
30B;29;43401;43600;11752;12797;10297;10297;13663;13663
30B;29;43601;43800;11850;12903;10403;10403;13761;13761
30B;29;43801;44000;11948;13009;10509;10509;13859;13859
30B;29;44001;44200;12046;13116;10616;10616;13957;13957
30B;29;44201;44400;12144;13226;10726;10726;14055;14055
30B;29;44401;44600;12242;13332;10832;10832;14153;14153
30B;29;44601;44800;12340;13438;10938;10938;14251;14251
30B;29;44801;45000;12438;13544;11044;11044;14349;14349
30B;29;45001;45200;12536;13650;11150;11150;14447;14447
30B;29;45201;45400;12634;13757;11257;11257;14545;14545
30B;29;45401;45600;12732;13867;11367;11367;14643;14643
30B;29;45601;45800;12830;13973;11473;11473;14741;14741
30B;29;45801;46000;12928;14075;11575;11575;14839;14839
30B;29;46001;46200;13026;14173;11673;11673;14937;14937
30B;29;46201;46400;13124;14271;11771;11771;15035;15035
30B;29;46401;46600;13222;14369;11869;11869;15133;15133
30B;29;46601;46800;13320;14467;11967;11967;15231;15231
30B;29;46801;47000;13418;14565;12065;12065;15329;15329
30B;29;47001;47200;13516;14663;12163;12163;15427;15427
30B;29;47201;47400;13614;14761;12261;12261;15525;15525
30B;29;47401;47600;13712;14859;12359;12359;15623;15623
30B;29;47601;47800;13810;14957;12457;12457;15721;15721
30B;29;47801;48000;13908;15055;12555;12555;15819;15819
30B;29;48001;48200;14006;15153;12653;12653;15917;15917
30B;29;48201;48400;14104;15251;12751;12751;16015;16015
30B;29;48401;48600;14202;15349;12849;12849;16113;16113
30B;29;48601;48800;14300;15447;12947;12947;16211;16211
30B;29;48801;49000;14398;15545;13045;13045;16309;16309
30B;29;49001;49200;14496;15643;13143;13143;16407;16407
30B;29;49201;49400;14594;15741;13241;13241;16505;16505
30B;29;49401;49600;14692;15839;13339;13339;16603;16603
30B;29;49601;49800;14790;15937;13437;13437;16701;16701
30B;29;49801;50000;14889;16035;13535;13535;16799;16799
30B;29;50001;50200;14993;16133;13639;13639;16897;16897
30B;29;50201;50400;15097;16231;13743;13743;16995;16995
30B;29;50401;50600;15201;16329;13847;13847;17093;17093
30B;29;50601;50800;15305;16427;13951;13951;17191;17191
30B;29;50801;51000;15409;16525;14055;14055;17289;17289
30B;29;51001;51200;15513;16623;14159;14159;17387;17387
30B;29;51201;51400;15617;16721;14263;14263;17485;17485
30B;29;51401;51600;15721;16819;14367;14367;17583;17583
30B;29;51601;51800;15825;16917;14471;14471;17681;17681
30B;29;51801;52000;15929;17015;14575;14575;17779;17779
30B;29;52001;52200;16033;17113;14679;14679;17877;17877
30B;29;52201;52400;16137;17211;14783;14783;17975;17975
30B;29;52401;52600;16241;17309;14887;14887;18073;18073
30B;29;52601;52800;16345;17407;14991;14991;18171;18171
30B;29;52801;53000;16449;17505;15095;15095;18269;18269
30B;29;53001;53200;16553;17603;15199;15199;18367;18367
30B;29;53201;53400;16665;17701;15303;15303;18473;18473
30B;29;53401;53600;16779;17799;15407;15407;18581;18581
30B;29;53601;53800;16893;17897;15511;15511;18689;18689
30B;29;53801;54000;17007;17995;15615;15615;18797;18797
30B;29;54001;54200;17121;18093;15719;15719;18905;18905
30B;29;54201;54400;17235;18191;15823;15823;19013;19013
30B;29;54401;54600;17349;18289;15927;15927;19121;19121
30B;29;54601;54800;17463;18388;16032;16032;19229;19229
30B;29;54801;55000;17577;18496;16146;16146;19337;19337
30B;29;55001;55200;17691;18604;16260;16260;19445;19445
30B;29;55201;55400;17805;18712;16374;16374;19553;19553
30B;29;55401;55600;17919;18820;16488;16488;19661;19661
30B;29;55601;55800;18033;18928;16602;16602;19769;19769
30B;29;55801;56000;18147;19036;16716;16716;19877;19877
30B;29;56001;56200;18261;19144;16830;16830;19985;19985
30B;29;56201;56400;18375;19252;16944;16944;20093;20093
30B;29;56401;56600;18489;19360;17058;17058;20201;20201
30B;29;56601;56800;18603;19468;17172;17172;20309;20309
