Församlings-kod;Kommun;Församling;Summa, inkl. kyrkoavgift;Summa, exkl. kyrkoavgift;Kommunal-skatt;Landstings-skatt;Begravnings-avgift;Kyrkoavgift
08 61  03;MÖNSTERÅS;ÅLEM;34.04;33.02;21.41;11.37;0.24;1.02
08 62  01;EMMABODA;EMMABODA;34.50;33.40;21.71;11.37;0.32;1.10
08 62  02;EMMABODA;VISSEFJÄRDA;34.50;33.40;21.71;11.37;0.32;1.10
08 62  03;EMMABODA;ALGUTSBODA;34.50;33.40;21.71;11.37;0.32;1.10
08 62  04;EMMABODA;LÅNGASJÖ;34.50;33.40;21.71;11.37;0.32;1.10
08 80  01;KALMAR;KALMAR DOMKYRKOFÖRS.;34.58;33.45;21.81;11.37;0.27;1.13
08 80  02;KALMAR;FÖRLÖSA-KLÄCKEBERGA;34.22;33.35;21.81;11.37;0.17;0.87
08 80  03;KALMAR;DÖRBY;34.59;33.42;21.81;11.37;0.24;1.17
08 80  04;KALMAR;HOSSMO;34.59;33.42;21.81;11.37;0.24;1.17
08 80  05;KALMAR;RYSSBY;34.63;33.48;21.81;11.37;0.30;1.15
08 80  06;KALMAR;ÅBY;34.63;33.48;21.81;11.37;0.30;1.15
08 80  08;KALMAR;LJUNGBY;34.87;33.51;21.81;11.37;0.33;1.36
08 80  09;KALMAR;ARBY-HAGBY;34.87;33.51;21.81;11.37;0.33;1.36
08 80  11;KALMAR;HALLTORP-VOXTORP;34.87;33.51;21.81;11.37;0.33;1.36
08 80  13;KALMAR;KARLSLUNDA-MORTORP;34.87;33.51;21.81;11.37;0.33;1.36
08 80  15;KALMAR;KALMAR S:T JOHANNES;34.58;33.45;21.81;11.37;0.27;1.13
08 80  16;KALMAR;HELIGA KORSET;34.58;33.45;21.81;11.37;0.27;1.13
08 80  17;KALMAR;S:TA BIRGITTA;34.58;33.45;21.81;11.37;0.27;1.13
08 80  18;KALMAR;TVÅ SYSTRAR;34.58;33.45;21.81;11.37;0.27;1.13
08 81  01;NYBRO;NYBRO-S:T SIGFRID;35.21;34.04;22.33;11.37;0.34;1.17
08 81  02;NYBRO;KRÅKSMÅLA;35.21;34.04;22.33;11.37;0.34;1.17
08 81  03;NYBRO;BÄCKEBO;35.21;34.04;22.33;11.37;0.34;1.17
08 81  04;NYBRO;KRISTVALLA;35.21;34.04;22.33;11.37;0.34;1.17
08 81  05;NYBRO;MADESJÖ;35.21;34.04;22.33;11.37;0.34;1.17
08 81  06;NYBRO;ÖRSJÖ;35.21;34.04;22.33;11.37;0.34;1.17
08 81  08;NYBRO;OSKAR;35.21;34.04;22.33;11.37;0.34;1.17
08 81  09;NYBRO;HÄLLEBERGA;35.21;34.04;22.33;11.37;0.34;1.17
08 82  01;OSKARSHAMN;OSKARSHAMN;34.73;33.85;22.26;11.37;0.22;0.88
08 82  03;OSKARSHAMN;MISTERHULT;35.29;33.99;22.26;11.37;0.36;1.30
08 82  05;OSKARSHAMN;DÖDERHULT;35.08;33.88;22.26;11.37;0.25;1.20
08 83  01;VÄSTERVIK;VÄSTERVIK;34.19;32.89;21.16;11.37;0.36;1.30
08 83  02;VÄSTERVIK;TÖRNSFALL;34.19;32.89;21.16;11.37;0.36;1.30
08 83  03;VÄSTERVIK;GLADHAMMAR-VÄSTRUM;34.19;32.89;21.16;11.37;0.36;1.30
08 83  05;VÄSTERVIK;UKNA;34.58;33.08;21.16;11.37;0.55;1.50
08 83  06;VÄSTERVIK;DALHEM;34.58;33.08;21.16;11.37;0.55;1.50
08 83  07;VÄSTERVIK;ÖVERUM;34.58;33.08;21.16;11.37;0.55;1.50
08 83  08;VÄSTERVIK;VÄSTRA ED;34.58;33.08;21.16;11.37;0.55;1.50
08 83  09;VÄSTERVIK;LOFTAHAMMAR;34.58;33.08;21.16;11.37;0.55;1.50
08 83  10;VÄSTERVIK;LOFTA;34.58;33.08;21.16;11.37;0.55;1.50
08 83  11;VÄSTERVIK;GAMLEBY;34.58;33.08;21.16;11.37;0.55;1.50
08 83  12;VÄSTERVIK;ODENSVI;34.58;33.08;21.16;11.37;0.55;1.50
08 83  14;VÄSTERVIK;HALLINGEBERG-BLACKSTAD;34.19;32.89;21.16;11.37;0.36;1.30
08 83  15;VÄSTERVIK;HJORTED;34.19;32.89;21.16;11.37;0.36;1.30
08 84  01;VIMMERBY;VIMMERBY;35.34;34.02;22.36;11.37;0.29;1.32
08 84  03;VIMMERBY;RUMSKULLA;35.34;34.02;22.36;11.37;0.29;1.32
08 84  04;VIMMERBY;PELARNE;35.34;34.02;22.36;11.37;0.29;1.32
08 84  05;VIMMERBY;FRÖDINGE;35.34;34.02;22.36;11.37;0.29;1.32
08 84  06;VIMMERBY;LOCKNEVI;35.34;34.02;22.36;11.37;0.29;1.32
08 84  08;VIMMERBY;SÖDRA VI-DJURSDALA;35.48;34.15;22.36;11.37;0.42;1.33
08 84  09;VIMMERBY;TUNA;35.34;34.02;22.36;11.37;0.29;1.32
08 85  01;BORGHOLM;BORGHOLM;34.90;33.36;21.58;11.37;0.41;1.54
08 85  02;BORGHOLM;FÖRA-ALBÖKE-LÖT;34.90;33.36;21.58;11.37;0.41;1.54
08 85  07;BORGHOLM;KÖPINGSVIK;34.90;33.36;21.58;11.37;0.41;1.54
08 85  09;BORGHOLM;RÄPPLINGE-HÖGSRUM;34.90;33.36;21.58;11.37;0.41;1.54
08 85  10;BORGHOLM;GÄRDSLÖSA, LÅNGLÖT OCH RUNSTEN;34.90;33.36;21.58;11.37;0.41;1.54
08 85  14;BORGHOLM;NORDÖLAND;34.90;33.36;21.58;11.37;0.41;1.54
09 80  01;GOTLAND;VISBY DOMKYRKOFÖRS.;35.28;33.83;33.60;0.00;0.23;1.45
09 80  02;GOTLAND;OTHEM-BOGE;35.64;33.98;33.60;0.00;0.38;1.66
09 80  04;GOTLAND;FÅRÖ;35.64;33.98;33.60;0.00;0.38;1.66
09 80  05;GOTLAND;BUNGE, RUTE OCH FLERINGE;35.64;33.98;33.60;0.00;0.38;1.66
09 80  10;GOTLAND;FORSA;35.64;33.98;33.60;0.00;0.38;1.66
09 80  15;GOTLAND;STENKYRKA;35.64;33.98;33.60;0.00;0.38;1.66
09 80  18;GOTLAND;VÄSKINDE;35.64;33.98;33.60;0.00;0.38;1.66
09 80  25;GOTLAND;GOTHEM;35.64;33.98;33.60;0.00;0.38;1.66
09 80  29;GOTLAND;DALHEM;35.77;34.04;33.60;0.00;0.44;1.73
09 80  30;GOTLAND;BARLINGBO;35.77;34.04;33.60;0.00;0.44;1.73
09 80  31;GOTLAND;ENDRE;35.77;34.04;33.60;0.00;0.44;1.73
09 80  32;GOTLAND;HEJDEBY;35.77;34.04;33.60;0.00;0.44;1.73
09 80  33;GOTLAND;FOLLINGBO;35.77;34.04;33.60;0.00;0.44;1.73
09 80  34;GOTLAND;AKEBÄCK;35.77;34.04;33.60;0.00;0.44;1.73
09 80  35;GOTLAND;ROMA;35.77;34.04;33.60;0.00;0.44;1.73
09 80  36;GOTLAND;BJÖRKE;35.77;34.04;33.60;0.00;0.44;1.73
09 80  40;GOTLAND;VÄNGE;35.77;34.04;33.60;0.00;0.44;1.73
09 80  47;GOTLAND;ÖSTERGARN;35.77;34.04;33.60;0.00;0.44;1.73
09 80  48;GOTLAND;STENKUMLA;35.22;33.79;33.60;0.00;0.19;1.43
09 80  50;GOTLAND;VALL, HOGRÄN OCH ATLINGBO;35.31;33.91;33.60;0.00;0.31;1.40
09 80  55;GOTLAND;ESKELHEM-TOFTA;35.31;33.91;33.60;0.00;0.31;1.40
09 80  57;GOTLAND;SANDA, VÄSTERGARN OCH MÄSTERBY;35.59;33.90;33.60;0.00;0.30;1.69
09 80  59;GOTLAND;VÄTE;35.59;33.90;33.60;0.00;0.30;1.69
09 80  60;GOTLAND;HEJDE;35.59;33.90;33.60;0.00;0.30;1.69
09 80  61;GOTLAND;KLINTE;35.59;33.90;33.60;0.00;0.30;1.69
09 80  62;GOTLAND;FRÖJEL;35.59;33.90;33.60;0.00;0.30;1.69
09 80  63;GOTLAND;EKSTA;35.59;33.90;33.60;0.00;0.30;1.69
09 80  64;GOTLAND;SPROGE;35.59;33.90;33.60;0.00;0.30;1.69
09 80  65;GOTLAND;GARDE;35.68;34.08;33.60;0.00;0.48;1.60
09 80  71;GOTLAND;NÄR-LAU;35.46;33.97;33.60;0.00;0.37;1.49
09 80  73;GOTLAND;STÅNGA-BURS;35.46;33.97;33.60;0.00;0.37;1.49
09 80  74;GOTLAND;LOJSTA;35.79;34.08;33.60;0.00;0.48;1.71
09 80  75;GOTLAND;LINDE;35.79;34.08;33.60;0.00;0.48;1.71
09 80  76;GOTLAND;ALVA, HEMSE OCH RONE;35.55;34.00;33.60;0.00;0.40;1.55
09 80  79;GOTLAND;FARDHEM;35.79;34.08;33.60;0.00;0.48;1.71
09 80  80;GOTLAND;GERUM;35.79;34.08;33.60;0.00;0.48;1.71
09 80  81;GOTLAND;LEVIDE;35.79;34.08;33.60;0.00;0.48;1.71
09 80  84;GOTLAND;HAVDHEM;35.56;34.10;33.60;0.00;0.50;1.46
09 80  89;GOTLAND;HOBURG;35.70;34.20;33.60;0.00;0.60;1.50
10 60  02;OLOFSTRÖM;JÄMSHÖG;34.78;33.60;22.16;11.19;0.25;1.18
10 60  03;OLOFSTRÖM;KYRKHULT;34.90;33.75;22.16;11.19;0.40;1.15
10 80  01;KARLSKRONA;KARLSKRONA STADSFÖRS.;34.65;33.65;22.10;11.19;0.36;1.00
10 80  04;KARLSKRONA;ASPÖ;34.65;33.65;22.10;11.19;0.36;1.00
10 80  06;KARLSKRONA;LYCKÅ;34.45;33.51;22.10;11.19;0.22;0.94
10 80  08;KARLSKRONA;KRISTIANOPEL;34.65;33.57;22.10;11.19;0.28;1.08
10 80  09;KARLSKRONA;JÄMJÖ;34.65;33.57;22.10;11.19;0.28;1.08
10 80  10;KARLSKRONA;TORHAMN;34.65;33.57;22.10;11.19;0.28;1.08
10 80  11;KARLSKRONA;STURKÖ;34.65;33.57;22.10;11.19;0.28;1.08
10 80  12;KARLSKRONA;RAMDALA;34.65;33.57;22.10;11.19;0.28;1.08
10 80  14;KARLSKRONA;RÖDEBY;34.65;33.53;22.10;11.19;0.24;1.12
10 80  15;KARLSKRONA;FRIDLEVSTAD;34.79;33.68;22.10;11.19;0.39;1.11
10 80  18;KARLSKRONA;NÄTTRABY-HASSLÖ;34.55;33.59;22.10;11.19;0.30;0.96
10 81  01;RONNEBY;RONNEBY;35.03;33.91;22.36;11.19;0.36;1.12
10 81  10;RONNEBY;BRÄKNE-HOBY;35.03;33.91;22.36;11.19;0.36;1.12
10 82  01;KARLSHAMN;KARLSHAMN;34.72;33.76;22.21;11.19;0.36;0.96
10 82  02;KARLSHAMN;RINGAMÅLA;34.72;33.67;22.21;11.19;0.27;1.05
10 82  03;KARLSHAMN;HÄLLARYD;34.72;33.76;22.21;11.19;0.36;0.96
10 82  04;KARLSHAMN;ÅRYD;34.72;33.76;22.21;11.19;0.36;0.96
10 82  05;KARLSHAMN;ASARUM;34.72;33.67;22.21;11.19;0.27;1.05
10 82  06;KARLSHAMN;MÖRRUM-ELLEHOLM;34.85;33.72;22.21;11.19;0.32;1.13
10 83  01;SÖLVESBORG;SÖLVESBORG;34.61;33.70;22.27;11.19;0.24;0.91
10 83  04;SÖLVESBORG;MJÄLLBY;34.79;33.72;22.27;11.19;0.26;1.07
12 14  02;SVALÖV;SVALÖV;32.91;31.64;20.49;10.69;0.46;1.27
12 14  05;SVALÖV;KÅGERÖD-RÖSTÅNGA;32.96;31.56;20.49;10.69;0.38;1.40
12 14  08;SVALÖV;BILLEBERGA-SIREKÖPINGE;32.91;31.64;20.49;10.69;0.46;1.27
12 14  10;SVALÖV;TECKOMATORP;32.91;31.64;20.49;10.69;0.46;1.27
12 30  06;STAFFANSTORP;UPPÅKRA;31.26;30.07;19.14;10.69;0.24;1.19
12 30  13;STAFFANSTORP;S:T STAFFAN;30.85;29.98;19.14;10.69;0.15;0.87
12 31  01;BURLÖV;BURLÖV;31.83;30.98;20.09;10.69;0.20;0.85
12 33  04;VELLINGE;VELLINGE-MÅNSTORP;30.52;29.43;18.50;10.69;0.24;1.09
12 33  05;VELLINGE;SKANÖR-FALSTERBO;30.43;29.44;18.50;10.69;0.25;0.99
12 33  09;VELLINGE;HÖLLVIKEN;30.08;29.32;18.50;10.69;0.13;0.76
12 56  01;ÖSTRA GÖINGE;KNISLINGE-GRYT;33.07;32.00;20.99;10.69;0.32;1.07
12 56  03;ÖSTRA GÖINGE;KVIINGE;33.07;32.00;20.99;10.69;0.32;1.07
12 56  04;ÖSTRA GÖINGE;HJÄRSÅS;33.26;32.04;20.99;10.69;0.36;1.22
12 56  06;ÖSTRA GÖINGE;BROBY-EMMISLÖV;33.33;32.10;20.99;10.69;0.42;1.23
12 56  07;ÖSTRA GÖINGE;GLIMÅKRA;33.26;32.04;20.99;10.69;0.36;1.22
12 57  01;ÖRKELLJUNGA;ÖRKELLJUNGA;31.07;29.95;19.06;10.69;0.20;1.12
12 57  02;ÖRKELLJUNGA;RYA;31.07;29.95;19.06;10.69;0.20;1.12
12 57  03;ÖRKELLJUNGA;SKÅNES-FAGERHULT;31.07;29.95;19.06;10.69;0.20;1.12
12 60  01;BJUV;BJUV;32.81;31.81;20.89;10.69;0.23;1.00
12 60  04;BJUV;EKEBY;32.76;31.87;20.89;10.69;0.29;0.89
12 61  01;KÄVLINGE;KÄVLINGE;30.48;29.39;18.51;10.69;0.19;1.09
12 61  03;KÄVLINGE;VÄSTRA KARABY OCH DAGSTORP;30.03;29.38;18.51;10.69;0.18;0.65
12 61  04;KÄVLINGE;LACKALÄNGA-STÄVIE;30.63;29.25;18.51;10.69;0.05;1.38
12 61  10;KÄVLINGE;HOFTERUP;30.03;29.38;18.51;10.69;0.18;0.65
12 61  12;KÄVLINGE;LÖDDEBYGDEN;30.46;29.39;18.51;10.69;0.19;1.07
12 62  01;LOMMA;LOMMA;31.34;30.52;19.64;10.69;0.19;0.82
12 62  05;LOMMA;BJÄRRED;31.61;30.53;19.64;10.69;0.20;1.08
12 63  01;SVEDALA;SVEDALA;32.03;31.15;20.24;10.69;0.22;0.88
12 63  07;SVEDALA;VÄRBY;32.06;31.14;20.24;10.69;0.21;0.92
12 64  01;SKURUP;SKURUP;32.09;31.01;20.02;10.69;0.30;1.08
12 64  06;SKURUP;SKIVARP;32.34;31.06;20.02;10.69;0.35;1.28
12 64  12;SKURUP;VILLIE;32.39;31.28;20.02;10.69;0.57;1.11
12 65  03;SJÖBO;SJÖBO;32.79;31.91;20.92;10.69;0.30;0.88
12 65  05;SJÖBO;BLENTARP;33.19;32.01;20.92;10.69;0.40;1.18
12 65  10;SJÖBO;LÖVESTAD;33.29;32.18;20.92;10.69;0.57;1.11
12 65  11;SJÖBO;VOLLSJÖ;33.47;32.21;20.92;10.69;0.60;1.26
12 66  02;HÖRBY;HÖRBY;33.30;32.17;21.08;10.69;0.40;1.13
12 67  02;HÖÖR;HÖÖR;33.10;31.97;20.93;10.69;0.35;1.13
12 67  04;HÖÖR;RINGSJÖ, DEL;33.13;31.95;20.93;10.69;0.33;1.18
12 70  05;TOMELILLA;TOMELILLABYGDEN;32.82;31.71;20.61;10.69;0.41;1.11
12 70  09;TOMELILLA;SMEDSTORP;33.28;31.84;20.61;10.69;0.54;1.44
12 70  14;TOMELILLA;BRÖSARP-TRANÅS;33.07;31.75;20.61;10.69;0.45;1.32
12 72  01;BROMÖLLA;IVETOFTA-GUALÖV;33.73;32.78;21.76;10.69;0.33;0.95
12 72  03;BROMÖLLA;NÄSUM;33.73;32.78;21.76;10.69;0.33;0.95
12 73  01;OSBY;OSBY-VISSELTOFTA;34.23;33.19;22.26;10.69;0.24;1.04
12 73  02;OSBY;ÖRKENED;34.36;33.32;22.26;10.69;0.37;1.04
12 73  03;OSBY;LOSHULT;34.23;33.19;22.26;10.69;0.24;1.04
12 75  01;PERSTORP;PERSTORP;33.03;31.83;20.81;10.69;0.33;1.20
12 76  01;KLIPPAN;KLIPPAN;32.87;31.72;20.75;10.69;0.28;1.15
12 76  05;KLIPPAN;RISEBERGA-FÄRINGTOFTA;32.87;31.72;20.75;10.69;0.28;1.15
12 76  07;KLIPPAN;ÖSTRA LJUNGBY;32.87;31.72;20.75;10.69;0.28;1.15
12 77  01;ÅSTORP;BJÖRNEKULLA-VÄSTRA BROBY;32.20;31.20;20.29;10.69;0.22;1.00
12 77  03;ÅSTORP;KVIDINGE;32.65;31.22;20.29;10.69;0.24;1.43
12 78  01;BÅSTAD;BÅSTAD-ÖSTRA KARUP;32.55;31.30;20.23;10.69;0.38;1.25
12 78  02;BÅSTAD;FÖRSLÖV-GREVIE;32.50;31.24;20.23;10.69;0.32;1.26
12 78  04;BÅSTAD;VÄSTRA KARUP-HOV;32.55;31.22;20.23;10.69;0.30;1.33
12 78  06;BÅSTAD;TOREKOV;32.55;31.22;20.23;10.69;0.30;1.33
12 80  02;MALMÖ;MALMÖ S:T PETRI;32.94;32.16;21.24;10.69;0.23;0.78
12 80  06;MALMÖ;MALMÖ S:T JOHANNES;32.94;32.16;21.24;10.69;0.23;0.78
12 80  07;MALMÖ;LIMHAMN;32.94;32.16;21.24;10.69;0.23;0.78
12 80  08;MALMÖ;FOSIE;32.94;32.16;21.24;10.69;0.23;0.78
12 80  10;MALMÖ;HUSIE;32.94;32.16;21.24;10.69;0.23;0.78
12 80  16;MALMÖ;HYLLIE;32.94;32.16;21.24;10.69;0.23;0.78
12 81  01;LUND;LUNDS DOMKYRKOFÖRS.;33.17;32.17;21.24;10.69;0.24;1.00
12 81  02;LUND;S:T PETERS KLOSTER;33.17;32.17;21.24;10.69;0.24;1.00
12 81  04;LUND;LUNDS ALLHELGONAFÖRS.;33.17;32.17;21.24;10.69;0.24;1.00
12 81  05;LUND;NORRA NÖBBELÖV;33.17;32.17;21.24;10.69;0.24;1.00
12 81  13;LUND;SÖDRA SANDBY;33.20;32.17;21.24;10.69;0.24;1.03
12 81  16;LUND;DALBY;33.15;32.15;21.24;10.69;0.22;1.00
12 81  20;LUND;GENARP;33.35;32.22;21.24;10.69;0.29;1.13
12 81  21;LUND;VEBERÖD;33.27;32.22;21.24;10.69;0.29;1.05
12 81  24;LUND;HELGEAND;33.17;32.17;21.24;10.69;0.24;1.00
12 81  25;LUND;LUNDS ÖSTRA STADSFÖRS.;33.17;32.17;21.24;10.69;0.24;1.00
12 81  27;LUND;TORN;33.17;32.17;21.24;10.69;0.24;1.00
12 82  01;LANDSKRONA;LANDSKRONA, DEL;32.31;31.35;20.24;10.69;0.42;0.96
12 82  04;LANDSKRONA;HÄLJARP;32.28;31.20;20.24;10.69;0.27;1.08
12 82  07;LANDSKRONA;KVISTOFTA, DEL;32.21;31.18;20.24;10.69;0.25;1.03
12 83  01;HELSINGBORG;HELSINGBORGS MARIA;32.18;31.15;20.21;10.69;0.25;1.03
12 83  02;HELSINGBORG;HELSINGBORGS GUSTAV ADOLF;32.18;31.15;20.21;10.69;0.25;1.03
12 83  03;HELSINGBORG;RAUS;32.18;31.15;20.21;10.69;0.25;1.03
12 83  05;HELSINGBORG;VÄLINGE-KATTARP;32.11;31.105;20.21;10.69;0.205;1.005
12 83  06;HELSINGBORG;ALLERUM;32.11;31.105;20.21;10.69;0.205;1.005
12 83  07;HELSINGBORG;FLENINGE;32.11;31.105;20.21;10.69;0.205;1.005
12 83  09;HELSINGBORG;KROPP;32.50;31.15;20.21;10.69;0.25;1.35
12 83  14;HELSINGBORG;LANDSKRONA, DEL;32.28;31.32;20.21;10.69;0.42;0.96
12 83  16;HELSINGBORG;KVISTOFTA, DEL;32.18;31.15;20.21;10.69;0.25;1.03
12 83  17;HELSINGBORG;FILBORNA;32.18;31.15;20.21;10.69;0.25;1.03
12 84  01;HÖGANÄS;HÖGANÄS;31.59;30.68;19.73;10.69;0.26;0.91
12 84  02;HÖGANÄS;VÄSBY;31.67;30.65;19.73;10.69;0.23;1.02
12 84  03;HÖGANÄS;VIKEN;31.67;30.65;19.73;10.69;0.23;1.02
12 84  04;HÖGANÄS;BRUNNBY;31.85;30.62;19.73;10.69;0.20;1.23
12 84  05;HÖGANÄS;FARHULT-JONSTORP;31.67;30.65;19.73;10.69;0.23;1.02
12 85  01;ESLÖV;ESLÖV;32.19;31.25;20.24;10.69;0.32;0.94
12 85  02;ESLÖV;ÖSTRA ONSJÖ;32.19;31.25;20.24;10.69;0.32;0.94
12 85  09;ESLÖV;RINGSJÖ, DEL;32.44;31.26;20.24;10.69;0.33;1.18
12 85  11;ESLÖV;MARIEHOLM;32.19;31.25;20.24;10.69;0.32;0.94
12 85  13;ESLÖV;LÖBERÖD;32.60;31.31;20.24;10.69;0.38;1.29
12 86  01;YSTAD;YSTAD;32.20;31.15;20.11;10.69;0.35;1.05
12 86  05;YSTAD;LJUNITS;32.605;31.26;20.11;10.69;0.46;1.345
12 86  11;YSTAD;STORA KÖPINGE;32.38;31.18;20.11;10.69;0.38;1.20
12 86  14;YSTAD;SÖVESTADSBYGDEN;32.20;31.15;20.11;10.69;0.35;1.05
12 86  17;YSTAD;LÖDERUP;32.39;31.47;20.11;10.69;0.67;0.92
12 87  01;TRELLEBORG;TRELLEBORG;32.12;31.41;20.36;10.69;0.36;0.71
12 87  06;TRELLEBORG;HAMMARLÖV;32.62;31.50;20.36;10.69;0.45;1.12
12 87  15;TRELLEBORG;DALKÖPINGE;32.32;31.35;20.36;10.69;0.30;0.97
12 87  21;TRELLEBORG;KÄLLSTORP;32.63;31.51;20.36;10.69;0.46;1.12
12 87  31;TRELLEBORG;ANDERSLÖV;32.58;31.45;20.36;10.69;0.40;1.13
12 90  01;KRISTIANSTAD;KRISTIANSTADS HELIGA TREFALDIGHET;33.34;32.42;21.46;10.69;0.27;0.92
12 90  02;KRISTIANSTAD;NORRA ÅSUM;33.34;32.42;21.46;10.69;0.27;0.92
12 90  03;KRISTIANSTAD;ÄSPHULT;33.68;32.45;21.46;10.69;0.30;1.23
12 90  05;KRISTIANSTAD;TRÄNE-DJURRÖD;33.60;32.42;21.46;10.69;0.27;1.18
12 90  07;KRISTIANSTAD;VÄ-SKEPPARSLÖV;33.60;32.42;21.46;10.69;0.27;1.18
12 90  08;KRISTIANSTAD;KÖPINGE;33.60;32.42;21.46;10.69;0.27;1.18
12 90  09;KRISTIANSTAD;NOSABY;33.43;32.33;21.46;10.69;0.18;1.10
12 90  14;KRISTIANSTAD;ARASLÖV;33.46;32.36;21.46;10.69;0.21;1.10
12 90  15;KRISTIANSTAD;ÅHUS;33.145;32.275;21.46;10.69;0.125;0.87
12 90  23;KRISTIANSTAD;BÄCKASKOG;33.90;32.49;21.46;10.69;0.34;1.41
12 90  24;KRISTIANSTAD;FJÄLKINGE-NYMÖ;33.90;32.49;21.46;10.69;0.34;1.41
12 90  25;KRISTIANSTAD;GUSTAV ADOLF-RINKABY;33.90;32.49;21.46;10.69;0.34;1.41
12 90  29;KRISTIANSTAD;DEGEBERGA-EVERÖD;33.78;32.53;21.46;10.69;0.38;1.25
12 90  32;KRISTIANSTAD;VÄSTRA OCH ÖSTRA VRAM;33.68;32.45;21.46;10.69;0.30;1.23
12 90  33;KRISTIANSTAD;LINDERÖD;33.68;32.45;21.46;10.69;0.30;1.23
12 90  34;KRISTIANSTAD;VÅNGA;33.88;32.65;21.46;10.69;0.50;1.23
12 90  35;KRISTIANSTAD;OPPMANNA;33.88;32.65;21.46;10.69;0.50;1.23
12 91  01;SIMRISHAMN;SIMRISHAMN;32.96;31.66;20.51;10.69;0.46;1.30
12 91  07;SIMRISHAMN;BORRBY-ÖSTRA HOBY;32.884;31.65;20.51;10.69;0.45;1.234
12 91  11;SIMRISHAMN;STIBY;32.884;31.65;20.51;10.69;0.45;1.234
12 91  15;SIMRISHAMN;HAMMENHÖG;32.884;31.65;20.51;10.69;0.45;1.234
12 91  17;SIMRISHAMN;S:T OLOF;32.96;31.66;20.51;10.69;0.46;1.30
12 91  18;SIMRISHAMN;RÖRUM;32.96;31.66;20.51;10.69;0.46;1.30
12 91  19;SIMRISHAMN;KIVIK;33.13;31.70;20.51;10.69;0.50;1.43
12 92  01;ÄNGELHOLM;ÄNGELHOLM;31.76;30.72;19.79;10.69;0.24;1.04
12 92  05;ÄNGELHOLM;MUNKA LJUNGBY;32.06;30.78;19.79;10.69;0.30;1.28
12 92  06;ÄNGELHOLM;STRÖVELSTORP;32.19;30.82;19.79;10.69;0.34;1.37
12 92  09;ÄNGELHOLM;BARKÅKRA;31.78;30.66;19.79;10.69;0.18;1.12
12 92  11;ÄNGELHOLM;HJÄRNARP-TÅSTARP;32.15;30.81;19.79;10.69;0.33;1.34
12 93  01;HÄSSLEHOLM;HÄSSLEHOLM;33.07;32.06;21.06;10.69;0.31;1.01
12 93  05;HÄSSLEHOLM;VINSLÖV;33.31;32.03;21.06;10.69;0.28;1.28
12 93  10;HÄSSLEHOLM;FARSTORP;33.16;32.05;21.06;10.69;0.30;1.11
12 93  11;HÄSSLEHOLM;VERUM;33.25;32.10;21.06;10.69;0.35;1.15
12 93  12;HÄSSLEHOLM;VITTSJÖ;33.25;32.10;21.06;10.69;0.35;1.15
12 93  13;HÄSSLEHOLM;NORRA ÅKARP;33.16;32.05;21.06;10.69;0.30;1.11
12 93  14;HÄSSLEHOLM;VANKIVA;33.16;32.05;21.06;10.69;0.30;1.11
12 93  15;HÄSSLEHOLM;SÖSDALA;33.28;32.06;21.06;10.69;0.31;1.22
12 93  19;HÄSSLEHOLM;TYRINGE;33.28;32.00;21.06;10.69;0.25;1.28
12 93  21;HÄSSLEHOLM;RÖKE;33.28;32.00;21.06;10.69;0.25;1.28
12 93  22;HÄSSLEHOLM;VÄSTRA TORUP;33.28;32.00;21.06;10.69;0.25;1.28
13 15  01;HYLTE;TORUP;34.14;32.61;21.45;10.82;0.34;1.53
13 15  04;HYLTE;LÅNGARYD;34.07;32.57;21.45;10.82;0.30;1.50
13 15  05;HYLTE;FÄRGARYD;34.07;32.57;21.45;10.82;0.30;1.50
13 15  06;HYLTE;FEMSJÖ;34.07;32.57;21.45;10.82;0.30;1.50
13 15  07;HYLTE;UNNARYD;34.07;32.57;21.45;10.82;0.30;1.50
13 80  02;HALMSTAD;HALMSTAD;32.59;31.50;20.43;10.82;0.25;1.09
13 80  03;HALMSTAD;SNÖSTORP;32.63;31.46;20.43;10.82;0.21;1.17
13 80  05;HALMSTAD;OSKARSTRÖM;32.68;31.54;20.43;10.82;0.29;1.14
13 80  09;HALMSTAD;SÖNDRUM-VAPNÖ;32.23;31.40;20.43;10.82;0.15;0.83
13 80  11;HALMSTAD;HARPLINGE;32.52;31.43;20.43;10.82;0.18;1.09
13 80  12;HALMSTAD;STENINGE;32.52;31.43;20.43;10.82;0.18;1.09
13 80  14;HALMSTAD;GETINGE-RÄVINGE;32.68;31.54;20.43;10.82;0.29;1.14
13 80  15;HALMSTAD;SLÄTTÅKRA-KVIBILLE;32.68;31.54;20.43;10.82;0.29;1.14
13 80  19;HALMSTAD;ENSLÖV;32.68;31.54;20.43;10.82;0.29;1.14
13 81  01;LAHOLM;LAHOLM;32.78;31.72;20.58;10.82;0.32;1.06
13 81  03;LAHOLM;HASSLÖV-VÅXTORP;32.965;31.875;20.58;10.82;0.475;1.09
13 81  05;LAHOLM;SKUMMESLÖV;32.78;31.72;20.58;10.82;0.32;1.06
13 81  06;LAHOLM;HISHULT;32.965;31.875;20.58;10.82;0.475;1.09
13 81  07;LAHOLM;RÄNNESLÖV-YSBY;32.965;31.875;20.58;10.82;0.475;1.09
13 81  09;LAHOLM;KNÄRED;32.965;31.875;20.58;10.82;0.475;1.09
13 81  11;LAHOLM;VEINGE-TJÄRBY;32.965;31.875;20.58;10.82;0.475;1.09
