Församlings-kod;Kommun;Församling;Summa, inkl. kyrkoavgift;Summa, exkl. kyrkoavgift;Kommunal-skatt;Landstings-skatt;Begravnings-avgift;Kyrkoavgift
24 80  09;UMEÅ;SÄVAR-HOLMÖN;35.119;33.90;22.85;10.80;0.25;1.219
24 80  11;UMEÅ;UMEÅ MARIA;34.82;33.81;22.85;10.80;0.16;1.01
24 81  01;LYCKSELE;LYCKSELE;35.605;34.305;23.10;10.80;0.405;1.30
24 82  01;SKELLEFTEÅ;SKELLEFTEÅ S:T OLOV;34.75;33.69;22.65;10.80;0.24;1.06
24 82  02;SKELLEFTEÅ;SKELLEFTEÅ S:T ÖRJAN;34.92;33.75;22.65;10.80;0.30;1.17
24 82  03;SKELLEFTEÅ;BUREÅ;34.80;33.75;22.65;10.80;0.30;1.05
24 82  04;SKELLEFTEÅ;SKELLEFTEÅ LANDSFÖRS.;34.75;33.69;22.65;10.80;0.24;1.06
24 82  05;SKELLEFTEÅ;JÖRN-BOLIDEN;34.75;33.69;22.65;10.80;0.24;1.06
24 82  06;SKELLEFTEÅ;KÅGEDALEN;34.75;33.69;22.65;10.80;0.24;1.06
24 82  07;SKELLEFTEÅ;BYSKE-FÄLLFORS;34.75;33.69;22.65;10.80;0.24;1.06
24 82  10;SKELLEFTEÅ;LÖVÅNGER;35.07;33.85;22.65;10.80;0.40;1.22
24 82  11;SKELLEFTEÅ;BURTRÄSK;35.07;33.85;22.65;10.80;0.40;1.22
25 05  02;ARVIDSJAUR;ARVIDSJAUR;35.68;34.62;22.80;11.34;0.48;1.06
25 06  02;ARJEPLOG;ARJEPLOG;36.43;35.23;23.50;11.34;0.39;1.20
25 10  02;JOKKMOKK;JOKKMOKK;35.99;34.74;22.95;11.34;0.45;1.25
25 13  01;ÖVERKALIX;ÖVERKALIX;35.70;34.60;22.80;11.34;0.46;1.10
25 14  01;KALIX;NEDERKALIX;35.061;34.161;22.55;11.34;0.271;0.90
25 14  02;KALIX;TÖRE;35.061;34.161;22.55;11.34;0.271;0.90
25 18  01;ÖVERTORNEÅ;ÖVERTORNEÅ;34.64;33.54;21.75;11.34;0.45;1.10
25 21  01;PAJALA;PAJALA;36.64;35.383;23.50;11.34;0.543;1.257
25 23  01;GÄLLIVARE;GÄLLIVARE;34.99;34.17;22.55;11.34;0.28;0.82
25 23  06;GÄLLIVARE;MALMBERGET;34.99;34.17;22.55;11.34;0.28;0.82
25 60  02;ÄLVSBYN;ÄLVSBY;35.06;34.05;22.45;11.34;0.26;1.01
25 80  02;LULEÅ;LULEÅ DOMKYRKOFÖRS.;34.99;34.03;22.50;11.34;0.19;0.96
25 80  03;LULEÅ;NEDERLULEÅ;34.93;34.04;22.50;11.34;0.20;0.89
25 80  04;LULEÅ;RÅNEÅ;35.38;34.16;22.50;11.34;0.32;1.22
25 81  02;PITEÅ;HORTLAX;34.86;33.91;22.25;11.34;0.32;0.95
25 81  03;PITEÅ;PITEÅ;34.82;33.90;22.25;11.34;0.31;0.92
25 81  05;PITEÅ;NORRFJÄRDEN;34.95;33.92;22.25;11.34;0.33;1.03
25 82  01;BODEN;ÖVERLULEÅ;35.06;34.16;22.60;11.34;0.22;0.90
25 82  02;BODEN;GUNNARSBYN;35.06;34.16;22.60;11.34;0.22;0.90
25 82  03;BODEN;EDEFORS;35.55;34.44;22.60;11.34;0.50;1.11
25 82  04;BODEN;SÄVAST;35.06;34.16;22.60;11.34;0.22;0.90
25 83  01;HAPARANDA;HAPARANDA;35.14;34.21;22.50;11.34;0.37;0.93
25 84  01;KIRUNA;JUKKASJÄRVI;35.59;34.63;23.05;11.34;0.24;0.96
25 84  02;KIRUNA;VITTANGI;35.59;34.63;23.05;11.34;0.24;0.96
25 84  03;KIRUNA;KARESUANDO;35.59;34.63;23.05;11.34;0.24;0.96
